"id","firstname","lastname","email","emailstatus","token","language","validfrom","validuntil","invited","reminded","remindercount","completed","usesleft","attribute_1","attribute_2","attribute_3"
33,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",33,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
34,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",34,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
35,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",35,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
36,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",36,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
37,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",37,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
38,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",38,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
39,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",39,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
40,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",40,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
41,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",41,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
42,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",42,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
43,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",43,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
44,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",44,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
45,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",45,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
46,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",46,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
47,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",47,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
48,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",48,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
49,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",49,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
50,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",50,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
51,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",51,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
52,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",52,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
53,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",53,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
54,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",54,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
55,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",55,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
56,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",56,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
57,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",57,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
58,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",58,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
59,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",59,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
60,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",60,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
61,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",61,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
62,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",62,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
63,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",63,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
64,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",64,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
65,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",65,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
66,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",66,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
67,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",67,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
68,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",68,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
69,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",69,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
70,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",70,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
71,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",71,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
72,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",72,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
73,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",73,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
74,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",74,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
75,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",75,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
76,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",76,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
77,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",77,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
78,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",78,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
79,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",79,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
80,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",80,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
81,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",81,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
82,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",82,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
83,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",83,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
84,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",84,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
85,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",85,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
86,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",86,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
87,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",87,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
88,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",88,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
89,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",89,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
90,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",90,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
91,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",91,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
92,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",92,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
93,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",93,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
94,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",94,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
95,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",95,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
96,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",96,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
97,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",97,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
98,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",98,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
99,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",99,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
100,"Mentor","Teacher","studentteachinginitiative@gmail.com","OK",100,"en","","","N","N",0,"N",1,"Mentor Teacher","Dan Goldhaber","0001"
